ObjectArrayParse, ObjectArrayIterative, ObjectArrayRecursive, ObjectArrayPointer, CircularListParse, CircularListIterative, CircularListRecursive, ListParse, ListIterative, ListRecursive
42, 4079, 3848, 3911, 31, 4047, 4248, 34, 3943, 3869, 
38, 3856, 4187, 3950, 32, 3805, 3879, 41, 3520, 3843, 
35, 3480, 3684, 4151, 35, 4104, 3958, 44, 3671, 4044, 
41, 4204, 3986, 3957, 39, 4294, 3820, 41, 4074, 4019, 
55, 8218, 6505, 3715, 52, 4439, 3935, 45, 3746, 3319, 
38, 3534, 3479, 3939, 35, 3403, 3538, 46, 3789, 4187, 
34, 3262, 3631, 3681, 45, 3507, 3389, 44, 3521, 3958, 
38, 3482, 4089, 4249, 54, 4228, 3782, 61, 3806, 4061, 
40, 3822, 4285, 4275, 37, 3900, 3893, 39, 3740, 3920, 
37, 3858, 3512, 6738, 133, 6707, 6800, 48, 3407, 4464, 
38, 3669, 4051, 3829, 35, 3446, 3582, 36, 3912, 3328, 
37, 3584, 4030, 4033, 50, 3759, 3760, 53, 4239, 4300, 
40, 3318, 3529, 3967, 45, 3677, 3662, 44, 3573, 4102, 
42, 3852, 3903, 4359, 38, 3987, 3869, 53, 4031, 3773, 
36, 3502, 3718, 3634, 40, 3574, 3879, 41, 3901, 6895, 
39, 4018, 3763, 3804, 43, 3790, 3970, 38, 3471, 3810, 
41, 4259, 3652, 3384, 40, 4250, 3944, 41, 3875, 3798, 
36, 3402, 3589, 3785, 40, 3798, 3844, 37, 3826, 3711, 
42, 4073, 3940, 4017, 35, 3711, 3957, 35, 4064, 4169, 
39, 3892, 3822, 3880, 38, 4180, 3987, 50, 3877, 3900, 
54, 4540, 5307, 3543, 61, 4302, 4282, 50, 4088, 4117, 
39, 3816, 4027, 4257, 31, 4069, 3565, 38, 3724, 3891, 
42, 3804, 3620, 4073, 48, 3750, 3878, 39, 3781, 3841, 
38, 3988, 3997, 3672, 41, 3890, 3750, 39, 4015, 3922, 
41, 3636, 4006, 3685, 43, 3789, 3784, 40, 3794, 4024, 
38, 3857, 3639, 3880, 43, 4055, 3752, 39, 3768, 6270, 
51, 4406, 3693, 3538, 43, 3929, 3996, 40, 4028, 3698, 
36, 3659, 4118, 3965, 34, 3770, 3775, 38, 3839, 3988, 
37, 3801, 3826, 4158, 31, 3909, 3729, 48, 3837, 3713, 
34, 3827, 3625, 3606, 42, 4293, 3948, 41, 4012, 3850, 
42, 3946, 4158, 3876, 34, 3757, 4189, 37, 4084, 4048, 
49, 4023, 3658, 3882, 48, 3955, 3848, 43, 3785, 3943, 
42, 3979, 4030, 3756, 34, 3735, 4027, 34, 3995, 3860, 
38, 3369, 3724, 3895, 31, 3288, 3892, 43, 3474, 4003, 
48, 3836, 3984, 3949, 34, 4026, 3862, 41, 3752, 4109, 
35, 3959, 3841, 3832, 35, 4070, 3940, 34, 4101, 3437, 
42, 4310, 3819, 3860, 38, 3964, 4488, 300, 5326, 4042, 
37, 3608, 4023, 4150, 38, 4065, 3745, 38, 4089, 4005, 
38, 3955, 3785, 3895, 40, 3766, 4070, 36, 3932, 3719, 
34, 3908, 4064, 3879, 38, 3771, 3862, 35, 4011, 3937, 
49, 3799, 3871, 3753, 45, 3634, 3897, 40, 3892, 4212, 
40, 3737, 3862, 3917, 29, 3924, 3805, 33, 3742, 3929, 
37, 9186, 4221, 5497, 60, 3464, 4423, 52, 4092, 3600, 
57, 3830, 4030, 4206, 31, 3833, 3788, 41, 3858, 4055, 
40, 4158, 3860, 3992, 44, 4196, 3757, 46, 4587, 3647, 
41, 3806, 4124, 3879, 31, 3676, 3708, 35, 4087, 4025, 
40, 3819, 3778, 3681, 37, 3674, 3322, 39, 4143, 3761, 
40, 3418, 3483, 3615, 109, 3341, 3504, 56, 5779, 7152, 
39, 3673, 3410, 3374, 31, 3700, 4122, 39, 3870, 3293, 
37, 3814, 3615, 3702, 40, 3759, 3999, 44, 3751, 3372, 
38, 3663, 3755, 3661, 44, 3741, 3749, 48, 4113, 3792, 
45, 3784, 3731, 3837, 38, 3370, 3602, 40, 4047, 3900, 
41, 4368, 3773, 3989, 45, 3968, 3770, 47, 3487, 3559, 
40, 4240, 3798, 3601, 78, 3461, 4130, 45, 4501, 4396, 
34, 3802, 3741, 3933, 33, 4141, 3917, 33, 3736, 3616, 
31, 3939, 3733, 4252, 39, 3731, 3855, 43, 3751, 3746, 
36, 4091, 3762, 3678, 36, 3787, 3928, 35, 3925, 3717, 
37, 4076, 4096, 3742, 29, 3804, 4007, 33, 4009, 3733, 
38, 3888, 3728, 4127, 36, 3381, 3921, 33, 6291, 4785, 
46, 3881, 3866, 4553, 33, 3545, 3743, 35, 3813, 3915, 
36, 4163, 3868, 3740, 28, 4202, 3447, 39, 3347, 3674, 
32, 3652, 4188, 3901, 33, 3767, 4070, 34, 3988, 3929, 
38, 3995, 4152, 3979, 28, 3726, 3798, 29, 4091, 3959, 
32, 3681, 3957, 3690, 32, 3928, 3776, 34, 3734, 6161, 
49, 3733, 3615, 3880, 32, 3865, 3861, 33, 3741, 3973, 
33, 3275, 4199, 4031, 30, 3884, 3855, 31, 3730, 3836, 
31, 4047, 3507, 3652, 41, 3961, 4069, 33, 4060, 3775, 
32, 3623, 4173, 3348, 39, 4065, 4235, 36, 3888, 4015, 
32, 3775, 4091, 3948, 28, 3875, 3967, 32, 3552, 3557, 
42, 7174, 5469, 3748, 37, 4370, 3739, 38, 3947, 4075, 
35, 4072, 3914, 3915, 31, 4153, 4155, 30, 3812, 3778, 
32, 3860, 3895, 3611, 37, 3927, 4151, 33, 4148, 4110, 
37, 3979, 4023, 4073, 28, 4274, 3720, 35, 3492, 3951, 
38, 3926, 3896, 3836, 28, 3999, 4151, 34, 3747, 3389, 
33, 4250, 3947, 3693, 45, 5873, 4435, 53, 4225, 3878, 
41, 3889, 3812, 4059, 33, 3873, 3801, 32, 3854, 3961, 
34, 3962, 3442, 3984, 33, 4125, 3890, 32, 3733, 3862, 
38, 3932, 3937, 3782, 32, 3922, 4008, 31, 4038, 3908, 
38, 3950, 3557, 4186, 36, 3460, 3910, 35, 4046, 3939, 
32, 3886, 3815, 3824, 27, 4043, 3764, 32, 6101, 4584, 
34, 3707, 4119, 3781, 35, 3936, 3817, 37, 3826, 3600, 
39, 3832, 3979, 4026, 37, 3914, 3717, 31, 3698, 4095, 
31, 4104, 3563, 3503, 32, 3932, 3821, 36, 3824, 3795, 
37, 4101, 4167, 3744, 28, 3753, 4099, 31, 3971, 4038, 
31, 3566, 3883, 4077, 33, 3846, 3791, 32, 4156, 3594, 
36, 4000, 3703, 4012, 41, 3743, 5864, 47, 4994, 4671, 
46, 3441, 3527, 3976, 31, 3419, 3600, 31, 3795, 3607, 
35, 3600, 3740, 3580, 37, 3403, 3511, 29, 3509, 3909, 
33, 3662, 4057, 3817, 28, 3787, 4049, 41, 3554, 3973, 
44, 3848, 4306, 3743, 41, 3374, 3746, 31, 3696, 3567, 
33, 3777, 3993, 3665, 35, 3365, 4038, 34, 4071, 4127, 
44, 3385, 4063, 3872, 29, 3446, 3375, 30, 3492, 3789, 
48, 4628, 4203, 3741, 42, 3790, 3808, 32, 3761, 3995, 
38, 3676, 4065, 4100, 36, 3551, 4031, 33, 3892, 4036, 
33, 3931, 3308, 3504, 29, 3991, 3415, 32, 3734, 3997, 
47, 4128, 3963, 3587, 30, 4200, 4068, 36, 3792, 3772, 
36, 4120, 3866, 3567, 33, 3753, 4026, 35, 4071, 3930, 
37, 4140, 3970, 3863, 31, 3724, 3923, 32, 4033, 3993, 
63, 4830, 4737, 5639, 61, 3502, 4086, 54, 4150, 3699, 
50, 4072, 4740, 3947, 38, 3891, 4231, 43, 4067, 3951, 
